,code,name,lot_size,stock_type
378,HK.00399,領航醫藥生物科技,5000,STOCK
379,HK.00400,科通芯城,1000,STOCK
380,HK.00401,萬嘉集團,5000,STOCK
381,HK.00402,天下圖控股,20000,STOCK
382,HK.00403,星光集團,2000,STOCK
383,HK.00404,新昌集團控股,2000,STOCK
384,HK.00406,有利集團,2000,STOCK
385,HK.00408,葉氏化工集團,2000,STOCK
386,HK.00410,SOHO中國,500,STOCK
387,HK.00411,南順(香港),1000,STOCK
388,HK.00412,中國新金融,6000,STOCK
389,HK.00413,南華集團控股,8000,STOCK
390,HK.00416,錦州銀行,1000,STOCK
391,HK.00417,謝瑞麟,2000,STOCK
392,HK.00418,方正控股,2000,STOCK
393,HK.00419,華誼騰訊娛樂,10000,STOCK
394,HK.00420,福田實業,2000,STOCK
395,HK.00422,越南製造加工出口,1000,STOCK
396,HK.00423,經濟日報集團,2000,STOCK
397,HK.00425,敏實集團,2000,STOCK
398,HK.00426,萬華媒體,2000,STOCK
399,HK.00428,匯嘉中國,2000,STOCK
400,HK.00430,東方網庫,2000,STOCK
401,HK.00431,大中華金融,4000,STOCK
402,HK.00432,盈大地產,1000,STOCK
403,HK.00433,北方礦業,10000,STOCK
404,HK.00434,博雅互動,1000,STOCK
405,HK.00436,新宇環保,20000,STOCK
406,HK.00438,彩虹新能源,2000,STOCK
407,HK.00439,光啟科學,1000,STOCK
408,HK.00440,大新金融,400,STOCK
409,HK.00442,KTL INT'L,1000,STOCK
410,HK.00444,先施表行,10000,STOCK
411,HK.00445,中國消防,5000,STOCK
412,HK.00449,志高控股,2000,STOCK
413,HK.00450,鴻興印刷集團,2000,STOCK
414,HK.00451,協鑫新能源,2000,STOCK
415,HK.00455,天大藥業,2000,STOCK
416,HK.00456,新城市建設發展,20000,STOCK
417,HK.00458,聯亞集團,1000,STOCK
418,HK.00459,美聯工商舖,10000,STOCK
419,HK.00460,四環醫藥,1000,STOCK
420,HK.00462,天然乳品,4000,STOCK
421,HK.00464,建福集團,4000,STOCK
422,HK.00465,富通科技,2000,STOCK
423,HK.00467,聯合能源集團,2000,STOCK
424,HK.00468,紛美包裝,1000,STOCK
425,HK.00469,凱普松國際,4000,STOCK
426,HK.00471,中播控股,4000,STOCK
427,HK.00472,新絲路文旅,10000,STOCK
428,HK.00474,昊天發展集團,6000,STOCK
429,HK.00475,中發展控股,2000,STOCK
430,HK.00476,中國動力控股,10000,STOCK
431,HK.00479,華建控股,20000,STOCK
432,HK.00480,香港興業國際,800,STOCK
433,HK.00482,聖馬丁國際,2000,STOCK
434,HK.00483,包浩斯國際,2000,STOCK
435,HK.00484,雲遊控股,100,STOCK
436,HK.00485,中國華星,20000,STOCK
437,HK.00486,俄羅斯鋁業,1000,STOCK
438,HK.00487,實德環球,4000,STOCK
439,HK.00488,麗新發展,15000,STOCK
440,HK.00489,東風集團股份,2000,STOCK
441,HK.00491,漢傳媒,20000,STOCK
442,HK.00493,國美電器,1000,STOCK
443,HK.00494,利豐,2000,STOCK
444,HK.00495,百利大,5000,STOCK
445,HK.00496,卡森國際,1000,STOCK
446,HK.00497,資本策略地產,10000,STOCK
447,HK.00498,保華集團,2000,STOCK
448,HK.00499,青島控股,2000,STOCK
449,HK.00500,先豐服務集團,1000,STOCK
450,HK.00503,朗生醫藥,1000,STOCK
451,HK.00505,歡悅互娛,1000,STOCK
452,HK.00506,中國食品,2000,STOCK
453,HK.00508,鼎億集團投資,5000,STOCK
454,HK.00509,世紀陽光,5000,STOCK
455,HK.00510,時富金融服務集團,6000,STOCK
456,HK.00511,電視廣播,100,STOCK
457,HK.00512,遠大醫藥,4000,STOCK
458,HK.00513,恆和集團,10000,STOCK
459,HK.00515,達進東方照明,2000,STOCK
460,HK.00517,中遠海運國際,2000,STOCK
461,HK.00518,同得仕(集團),2000,STOCK
462,HK.00519,實力建業,5000,STOCK
463,HK.00520,呷哺呷哺,500,STOCK
464,HK.00521,海航實業股份,10000,STOCK
465,HK.00522,ASM太平洋,100,STOCK
466,HK.00524,E-KONG,10000,STOCK
467,HK.00525,廣深鐵路股份,2000,STOCK
468,HK.00526,利時集團控股,2000,STOCK
469,HK.00527,瑞風新能源,4000,STOCK
470,HK.00528,金達控股,2000,STOCK
471,HK.00529,新龍國際,2000,STOCK
472,HK.00530,高銀金融,2000,STOCK
473,HK.00531,順誠,1000,STOCK
474,HK.00532,王氏港建,2000,STOCK
475,HK.00533,金利來集團,1000,STOCK
476,HK.00535,金地商置,2000,STOCK
477,HK.00536,貿易通,2000,STOCK
478,HK.00538,味千(中國),1000,STOCK
479,HK.00539,冠華國際控股,2000,STOCK
480,HK.00540,迅捷環球控股,4000,STOCK
481,HK.00542,新嶺域集團,8000,STOCK
482,HK.00543,太平洋網絡,1000,STOCK
483,HK.00544,大同集團,20000,STOCK
484,HK.00546,阜豐集團,1000,STOCK
485,HK.00547,數字王國,10000,STOCK
486,HK.00548,深圳高速公路股份,2000,STOCK
487,HK.00549,奇峰化纖,2000,STOCK
488,HK.00550,先傳媒,2000,STOCK
489,HK.00551,裕元集團,500,STOCK
490,HK.00552,中國通信服務,2000,STOCK
491,HK.00553,南京熊貓電子股份,2000,STOCK
492,HK.00554,漢思能源,2000,STOCK
493,HK.00555,御泰中彩控股,25000,STOCK
494,HK.00556,泛亞環保,2000,STOCK
495,HK.00557,CITY E-SOLUTION,2000,STOCK
496,HK.00558,力勁科技,2500,STOCK
497,HK.00559,德泰新能源集團,10000,STOCK
498,HK.00560,珠江船務,2000,STOCK
499,HK.00563,上實城市開發,2000,STOCK
500,HK.00564,鄭煤機,200,STOCK
