,code,name,lot_size,stock_type,stock_child_type,owner_stock_code,listing_date
2600,HK.16240,平安麦银八三购A.C,5000,WARRANT,CALL,HK.02318,2017-05-31
2601,HK.16242,平安瑞信七甲购B.C,5000,WARRANT,CALL,HK.02318,2017-05-31
2602,HK.16244,港交瑞信七乙购A.C,10000,WARRANT,CALL,HK.00388,2017-01-04
2603,HK.16245,洋保瑞信七七购A.C,2000,WARRANT,CALL,HK.02601,2017-01-04
2604,HK.16246,平安瑞信八一购A.C,5000,WARRANT,CALL,HK.02318,2017-05-31
2605,HK.16247,腾讯瑞信八一购D.C,10000,WARRANT,CALL,HK.00700,2017-05-31
2606,HK.16249,新保瑞信七甲购A.C,1000,WARRANT,CALL,HK.01336,2017-05-31
2607,HK.16250,中再瑞信八三购A.C,1000,WARRANT,CALL,HK.01508,2017-05-31
2608,HK.16253,电盈瑞信七乙购A.C,1000,WARRANT,CALL,HK.00008,2017-05-31
2609,HK.16254,腾讯瑞信八三购B.C,10000,WARRANT,CALL,HK.00700,2017-05-31
2610,HK.16255,利丰瑞信七甲购A.C,2000,WARRANT,CALL,HK.00494,2017-05-31
2611,HK.16257,盈富瑞信七七购A.C,5000,WARRANT,CALL,HK.02800,2017-01-04
2612,HK.16258,广发瑞信八四购A.C,2000,WARRANT,CALL,HK.01776,2017-05-31
2613,HK.16259,中信瑞信七乙购A.C,1000,WARRANT,CALL,HK.00267,2017-05-31
2614,HK.16260,中移高盛七九购B.C,5000,WARRANT,CALL,HK.00941,2017-05-31
2615,HK.16261,平安高盛七九购B.C,5000,WARRANT,CALL,HK.02318,2017-05-31
2616,HK.16262,汇丰高盛七甲购B.C,4000,WARRANT,CALL,HK.00005,2017-05-31
2617,HK.16264,中寿摩通八二沽A.P,10000,WARRANT,PUT,HK.02628,2017-05-31
2618,HK.16268,汇丰摩通八一沽A.P,4000,WARRANT,PUT,HK.00005,2017-05-31
2619,HK.16269,银河摩通七九购A.C,10000,WARRANT,CALL,HK.00027,2017-05-31
2620,HK.16271,腾讯法兴九一购A.C,10000,WARRANT,CALL,HK.00700,2017-06-01
2621,HK.16273,恒指汇丰七乙购D.C,10000,WARRANT,CALL,HK.800000,2017-06-01
2622,HK.16274,恒指汇丰八一购A.C,10000,WARRANT,CALL,HK.800000,2017-06-01
2623,HK.16275,恒指汇丰七甲沽B.P,10000,WARRANT,PUT,HK.800000,2017-06-01
2624,HK.16276,恒指汇丰七甲沽C.P,10000,WARRANT,PUT,HK.800000,2017-06-01
2625,HK.16277,工行瑞信七七购B.C,1000,WARRANT,CALL,HK.01398,2017-01-04
2626,HK.16278,建行瑞信七七购B.C,1000,WARRANT,CALL,HK.00939,2017-01-04
2627,HK.16279,银河麦银八二购A.C,10000,WARRANT,CALL,HK.00027,2017-06-01
2628,HK.16281,中海麦银八四购A.C,20000,WARRANT,CALL,HK.00688,2017-06-01
2629,HK.16282,中行麦银八二购A.C,1000,WARRANT,CALL,HK.03988,2017-06-01
2630,HK.16283,腾讯法巴八四沽B.P,10000,WARRANT,PUT,HK.00700,2017-06-01
2631,HK.16284,金沙摩通八乙购A.C,4000,WARRANT,CALL,HK.01928,2014-09-22
2632,HK.16285,港铁瑞信七乙购A.C,5000,WARRANT,CALL,HK.00066,2017-06-01
2633,HK.16286,中移瑞信七十购C.C,5000,WARRANT,CALL,HK.00941,2017-06-01
2634,HK.16288,腾讯麦银九一购A.C,10000,WARRANT,CALL,HK.00700,2017-06-01
2635,HK.16290,联想麦银八三购A.C,2000,WARRANT,CALL,HK.00992,2017-06-01
2636,HK.16291,中联法兴八一购A.C,2000,WARRANT,CALL,HK.00762,2017-06-01
2637,HK.16292,海通瑞信七十购A.C,4000,WARRANT,CALL,HK.06837,2017-01-04
